REGION,CAPITAL,2020_2021_PRIMARY_SOURCE,2020_2021_SECONDARY_SOURCE_OR_COMMENT
Республика Адыгея ,Майкоп ,http://adygheya.ru/ministers/departments/ministerstvo-obrazovaniya-i-nauki/odarennye/vserossiyskaya.php?PAGEN_1=4,primary only at http://adygheya.ru/upload/iblock/b8b/%D0%9F%D0%B5%D1%80%D0%B2%D0%B8%D1%87%D0%BD%D1%8B%D0%B5%20%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D1%8B%20(2).pdf; winners at http://adygheya.ru/upload/iblock/704/%D0%98%D1%82%D0%BE%D0%B3%D0%B8-2021.pdf
Республика Алтай ,Горно-Алтайск ,http://dopcenter-altai.ru/index.php/vserossijskaya-olimpiada-shkolnikov/1265-itogi-regionalnogo-etapa-vserossijskoj-olimpiady-shkolnikov-v-respublike-altaj-2020-2021-uchebnom-godu,winners at http://dopcenter-altai.ru/doc/2021/03/03.pdf
Республика Башкортостан ,Уфа ,https://avroracenter.com/russkij-yazyk/,no scores
Республика Бурятия ,Улан-Удэ ,,no data
Республика Дагестан ,Махачкала ,http://olimp.dgunh.ru/vsosh/,no OCR; same document for preliminary and for final results
Республика Ингушетия ,Магас ,,no data
Кабардино-Балкарская Республика ,Нальчик ,https://цнр07.рф/?Page=sitemap&act=show_site_razdel&id=273,problematic OCR
Республика Калмыкия ,Элиста ,https://rcdt-rk.ru/olimpiady/vosh/olimpiada-2020-2021gg,no data
Карачаево-Черкесская Республика ,Черкесск ,https://www.minobrkchr.ru/razdel/protokosly-zhyuri.php?clear_cache=Y,no OCR
Республика Карелия ,Петрозаводск ,https://kiro-karelia.ru/olimpiada/region-2020-2021,no OCR
Республика Коми ,Сыктывкар ,http://talant.kriro.ru/%d0%b2%d0%be%d1%88/%d1%80%d0%b5%d0%b3%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%8d%d1%82%d0%b0%d0%bf/,"no OCR in finals, using effectively identical preliminaries (quality of appeals?)"
Республика Крым [аннексирована],Симферополь ,https://www.krippo.ru/index.php/olimpiadu-i-konkyrsu/14-moduli/2003-rezultaty-regionalnogo-etapa,
