SUBJECT,YEAR,REGION,DATA_AVAILABLE,WINNERS_ONLY,GRADE_OF_COMPETITION,ID,CODE,DISTRICT,SCHOOL,T1,T2,T3,T4,T5,T6,T7,T8,SUM,PERCENTAGE,REGIONAL_STATUS,AUTHENTIC,FINAL_SUM,FINAL_PERCENTAGE,FINAL_STATUS,COMMENT
русский язык,2021,Адыгея,TRUE,FALSE,9,1,,Город Майкоп,Гимназия No 22,8.5,0,2,0,4,3.5,2,3.5,23.5,26.1,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,2,,Кошехабльский район,СОШ No 8,4.5,0,2,0,5.5,4.5,2,1.5,20,22.2,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,3,,Гиагинский район,СОШ No 4,3,0,3,0,8.5,0,3,1,18.5,20.6,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,4,,Красногвардейский район,Гимназия No 1,5.5,1,1,3,5.5,0.5,0,1.5,18,20,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,5,,Красногвардейский район,СОШ No 2,8.5,0,2,0,4.5,0,0,1,16,17.8,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,6,,Кошехабльский район,СОШ No 8,4.5,0,2,0,7,0,0,1.5,15,16.7,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,7,,Кошехабльский район,СОШ No 8,7,0,1,0,4.5,0,0.5,0,13,14.4,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,8,,Гиагинский район,СОШ No 3,4.5,0,0,0,2,4.5,0,0,11,12.2,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,9,,ГБОУ РА АРГ,АРГ,5,0,0,0,1.5,3.5,1,0,11,12.2,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,10,,Майкопский район,ОЦ No 3,3,0,3,0,4,0,0,0,10,11.1,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,11,,Город Адыгейск,СОШ No 2,4.5,0,0,0,3.5,0,0,0,8,8.9,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,12,,Кошехабльский район,СОШ No 8,3,0,0,0,1.5,1.5,0,0,6,6.7,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,9,13,,Кошехабльский район,СОШ No 6,2.5,0,0,0,0.5,1,0,0,4,4.4,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,14,,Город Майкоп,Лицей No 19,8,3,12,6.5,7,0,6.5,6,49,49,Призер,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,15,,Город Майкоп,Гимназия No 22,8.5,4,6,6,6.5,5.5,6,3,45.5,45.5,Призер,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,16,,Город Майкоп,Гимназия No 22,8,4,4,5.5,4.5,2.5,1,2,31.5,31.5,Призер,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,17,,Гиагинский район,СОШ No 1,3.5,0,3,2,8.5,1,7,2,27,27,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,18,,Майкопский район,ОЦ No 2,7,2,1,1.5,7,2.5,3.5,0,24.5,24.5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,19,,Майкопский район,ОЦ No 2,4.5,0,2.5,0,2.5,5,1.5,3.5,19.5,19.5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,20,,Город Адыгейск,СОШ No 1,3.5,0,0,0,3,3,4,0,13.5,13.5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,21,,Майкопский район,ОЦ No 3,4,0,1,0,4.5,0,3,0,12.5,12.5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,22,,Гиагинский район,СОШ No 3,3.5,0,2,0,1,0.5,3,1.5,11.5,11.5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,23,,Город Адыгейск,СОШ No 2,3,1,0,0,1.5,0,4,0,9.5,9.5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,24,,Красногвардейский район,СОШ No 2,5,0,0,0,0.5,1.5,0,0.5,7.5,7.5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,25,,Майкопский район,ОЦ No 6,1.5,0,2,0,4,0,0,0,7.5,7.5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,26,,Майкопский район,ОЦ No 6,2,0,0,0,1.5,0,0,0.5,4,4,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,10,27,,Теучежский район,СОШ No 5,0,0,0,0,0,0,0,0,0,0,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,28,,Город Майкоп,Лицей No 34,10,0,0,0,9,3,3,4,29,26.4,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,29,,Город Майкоп,Гимназия No 22,6,2,6,5,0,3.5,1.5,2.5,26.5,24.1,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,30,,Майкопский район,ОЦ No 7,5.5,0,5,0,5,2.5,4.5,0.5,23,20.9,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,31,,Шовгеновский район,СОШ No 8,3.5,0,4,0,0,3.5,5,4,20,18.2,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,32,,Теучежский район,СОШ No 3,4.5,0,4,0,0.5,2.5,6,1.5,19,17.3,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,33,,Город Адыгейск,СОШ No 3,3,0,4,0,0.5,2.5,6,2.5,18.5,16.8,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,34,,Город Адыгейск,СОШ No 3,2,0,3,0,1.5,0,9,0,15.5,14.1,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,35,,Майкопский район,ОЦ No 1,6,4,0,1.5,0,0.5,3,0,15,13.6,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,36,,Красногвардейский район,Гимназия No 1,4.5,3.5,0,0,0,2.5,3,1,14.5,13.2,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,37,,Кошехабльский район,СОШ No 10,3,0,0,0,0,3.5,0,0.5,7,6.4,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,38,,Майкопский район,ОЦ No 6,3,0,0,0,1.5,0,1,0,5.5,5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,39,,Гиагинский район,СОШ No 8,3,0,0,0,0,0,0,2.5,5.5,5,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,40,,Гиагинский район,СОШ No 3,4,0,0,0,0,0.5,0,0,4.5,4.1,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,41,,Кошехабльский район,СОШ No 3,3,0,0,0,0,1.5,0,0,4.5,4.1,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,42,,Кошехабльский район,СОШ No 1,3,0,0,0,0,0,0,0,3,2.7,,оба,,,,
русский язык,2021,Адыгея,TRUE,FALSE,11,43,,Майкопский район,ОЦ No 2,2,0,0,0,0,0,0,0.5,2.5,2.3,,оба,,,,
русский язык,2021,Алтайский край,TRUE,FALSE,9,44,,г. Барнаул,МБОУ «Гимназия № 42»,9.5,0,6,3,6.5,5,0,5,35,38.9,Победитель,оба,,,,
русский язык,2021,Алтайский край,TRUE,FALSE,9,45,,г. Барнаул,МБОУ «Лицей № 112»,7,4,4,0,4,2.5,6,2.5,30,33.3,Призер,оба,,,,
русский язык,2021,Алтайский край,TRUE,FALSE,9,46,,г. Барнаул,МБОУ «Гимназия № 69»,10.5,4,8,0,0.5,5.5,0,0,28.5,31.7,Призер,оба,,,,
русский язык,2021,Алтайский край,TRUE,FALSE,9,47,,Чарышский район,МБОУ «Озерская СОШ»,9,4,9,1.5,1.5,0,1,0,26,28.9,,оба,,,,
русский язык,2021,Алтайский край,TRUE,FALSE,9,48,,Петропавловский район,МБОУ «Зеленодольская СОШ»,7,2,2,0,6.5,4,0,4,25.5,28.3,,оба,,,,
русский язык,2021,Алтайский край,TRUE,FALSE,9,49,,г. Алейск,МБОУ-лицей г. Алейска,6.5,3,2,0,5.5,0,2,5.5,24.5,27.2,,оба,,,,
русский язык,2021,Алтайский край,TRUE,FALSE,9,50,,г. Бийск,МБОУ «СОШ № 18»,3.5,3,2,0,1,4,0,3.5,17,18.9,,оба,,,,
