REGION,CAPITAL,2021_2022_PRIMARY_SOURCE,2021_2022_SECONDARY_SOURCE_OR_COMMENT
Республика Адыгея,Майкоп,http://adygheya.ru/upload/iblock/f84/.%D0%98%D1%82%D0%BE%D0%B3%D0%BE%D0%B2%D1%8B%D0%B5%20%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D1%8B-%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9%20%D1%8F%D0%B7%D1%8B%D0%BA.pdf,
Республика Алтай,Горно-Алтайск,http://dopcenter-altai.ru/index.php/vserossijskaya-olimpiada-shkolnikov,
Республика Башкортостан,Уфа,,no scores: https://avroracenter.com/russkij-yazyk-21-22/
Республика Бурятия,Улан-Удэ,http://www.burinko.ru/page.php?219,
Республика Дагестан,Махачкала,http://olimp.dgunh.ru/vsosh/,
Республика Ингушетия,Магас,,
Кабардино-Балкарская Республика,Нальчик,https://antareskbr.ru/wp-content/uploads/2022/01/Russkij-yazyk-14.01.2022.pdf,
Республика Калмыкия,Элиста,https://rcdt-rk.ru/olimpiady/vosh/olimpiada-2021-2022/163-rezultaty-olimpiady-vsosh-2021-2022/1589-russkij-yazyk,
Карачаево-Черкесская Республика,Черкесск,https://www.minobrkchr.ru/razdel/protokqoly-zhyuri.php,
Республика Карелия,Петрозаводск,https://kiro-karelia.ru/olimpiada/2021-2022/regional,
Республика Коми,Сыктывкар,http://talant.kriro.ru/%D0%B2%D0%BE%D1%88/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D1%8D%D1%82%D0%B0%D0%BF/,
Республика Крым [аннексирована],Симферополь,https://krippo.ru/index.php/olimpiadu-i-konkyrsu/14-moduli/2210-13-01-22-1,
Республика Марий Эл,Йошкар-Ола,http://edu.mari.ru/school/DocLib4/Forms/AllItems.aspx?RootFolder=%2fschool%2fDocLib4%2f2021%2d2022%20%d1%83%d1%87%d0%b5%d0%b1%d0%bd%d1%8b%d0%b9%20%d0%b3%d0%be%d0%b4%2f%d0%a0%d0%95%d0%97%d0%a3%d0%9b%d0%ac%d0%a2%d0%90%d0%a2%d0%ab%20%d1%80%d0%b5%d0%b3%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d0%be%d0%b3%d0%be%20%d1%8d%d1%82%d0%b0%d0%bf%d0%b0%2f%d0%a0%d1%83%d1%81%d1%81%d0%ba%d0%b8%d0%b9%20%d1%8f%d0%b7%d1%8b%d0%ba%5f14%2e01%2e2022&FolderCTID=&View=%7b4716A393%2d492D%2d41AB%2dA81C%2d9C4411754A64%7d&PageView=Shared,
Республика Мордовия,Саранск,https://cloud.mail.ru/public/aTAD/5X5NpZdWH/%D0%98%D1%82%D0%BE%D0%B3%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BA%D0%BE%D0%BB/,
Республика Саха (Якутия),Якутск,https://lensky-kray.ru/index.php?r=projectspages/view&id=361,
Республика Северная Осетия — Алания,Владикавказ,http://mon.alania.gov.ru/documents/5617,
Республика Татарстан,Казань,,no scores: http://olimprocrt.ru/olimpiady/show/22
Республика Тыва,Кызыл,https://vsosh.rtyva.ru/index.php/home?layout=edit&id=164,
Удмуртская Республика,Ижевск,https://udmedu.ru/nepr_deyat/vserossiyskaya_olimpiada_shkolnikov/itogi/list.php?SECTION=370,
Республика Хакасия,Абакан,https://ipk19.ru/index.php/fgoc/index.php?option=com_content&view=article&id=1040&Itemid=245&regpro_minical_month=9&regpro_minical_year=2021,
Чеченская Республика,Грозный,https://tsodakhmat.ru/vsoshresult,
